TF,gene,effect
NhaR,nhaA,+
NhaR,nhaR,+
NhaR,pgaD,+
NhaR,pgaC,+
NhaR,pgaB,+
NhaR,pgaA,+
NhaR,osmC,+
CaiF,caiE,+
CaiF,caiD,+
CaiF,caiC,+
CaiF,caiB,+
CaiF,caiA,+
CaiF,caiT,+
CaiF,fixA,+
CaiF,fixB,+
CaiF,fixC,+
CaiF,fixX,+
AraC,araD,+
AraC,araA,+
AraC,araB,+
AraC,araC,+
AraC,araJ,+
AraC,ydeM,-
AraC,ydeN,-
AraC,araG,+
AraC,araF,+
AraC,araE,+
AraC,ygeA,+
AraC,xylB,-
AraC,xylA,-
AraC,araH,+
SgrR,sroA,-
SgrR,thiQ,-
SgrR,thiP,-
SgrR,tbpA,-
SgrR,sgrR,-
SgrR,setA,+
SgrR,alaC,+
SgrR,sgrS,+
SgrR,sgrT,+
LeuO,leuD,+
LeuO,leuC,+
LeuO,leuB,+
LeuO,leuA,+
LeuO,leuL,+
LeuO,leuO,+
LeuO,leuO,-
LeuO,dsrA,-
LeuO,casA,+
LeuO,casB,+
LeuO,casC,+
LeuO,casD,+
LeuO,casE,+
LeuO,cas1,+
LeuO,cas2,+
LeuO,bglG,+
LeuO,bglF,+
LeuO,bglB,+
LeuO,cadC,-
LeuO,yjjQ,+
LeuO,bglJ,+
Cra,setA,-
Cra,aroP,+
Cra,aroP,+
Cra,pdhR,-
Cra,aceE,-
Cra,aceF,-
Cra,lpd,-
Cra,pdhR,-
Cra,aceE,-
Cra,aceF,-
Cra,lpd,-
Cra,acnB,-
Cra,acnB,+
Cra,betA,+
Cra,betB,+
Cra,betI,+
Cra,betT,+
Cra,pdeL,-
Cra,yahA,+
Cra,prpB,-
Cra,prpC,-
Cra,prpD,-
Cra,prpE,-
Cra,cyoE,-
Cra,cyoE,+
Cra,cyoD,-
Cra,cyoD,+
Cra,cyoC,-
Cra,cyoC,+
Cra,cyoB,-
Cra,cyoB,+
Cra,cyoA,-
Cra,cyoA,+
Cra,cydA,+
Cra,cydB,+
Cra,poxB,+
Cra,ssuB,-
Cra,ssuC,-
Cra,ssuD,-
Cra,ssuA,-
Cra,ssuE,-
Cra,csgG,+
Cra,csgF,+
Cra,csgE,+
Cra,csgD,+
Cra,icd,+
Cra,adhE,-
Cra,adhE,-
Cra,ychE,-
Cra,acnA,+
Cra,marR,-
Cra,marA,-
Cra,marB,-
Cra,ydhZ,-
Cra,pykF,-
Cra,pykF,-
Cra,ppsA,+
Cra,ppsA,+
Cra,ppsR,+
Cra,msrB,+
Cra,gapA,-
Cra,gapA,-
Cra,yeaD,-
Cra,manX,-
Cra,manX,+
Cra,manY,-
Cra,manY,+
Cra,manZ,-
Cra,manZ,+
Cra,edd,-
Cra,eda,-
Cra,zwf,-
Cra,yeeX,+
Cra,hisG,+
Cra,hisG,-
Cra,hisD,+
Cra,hisD,-
Cra,hisC,+
Cra,hisC,-
Cra,hisB,+
Cra,hisB,-
Cra,hisH,+
Cra,hisH,-
Cra,hisA,+
Cra,hisA,-
Cra,hisF,+
Cra,hisF,-
Cra,hisI,+
Cra,hisI,-
Cra,mdtA,+
Cra,mdtB,+
Cra,mdtC,+
Cra,mdtD,+
Cra,baeS,+
Cra,baeR,+
Cra,fbaB,-
Cra,fruA,-
Cra,fruA,-
Cra,fruK,-
Cra,fruK,-
Cra,fruB,-
Cra,fruB,-
Cra,mepS,+
Cra,nuoN,+
Cra,nuoM,+
Cra,nuoL,+
Cra,nuoK,+
Cra,nuoJ,+
Cra,nuoI,+
Cra,nuoH,+
Cra,nuoG,+
Cra,nuoF,+
Cra,nuoE,+
Cra,nuoC,+
Cra,nuoB,+
Cra,nuoA,+
Cra,glk,-
Cra,glk,+
Cra,glk,-
Cra,ptsH,+
Cra,ptsI,+
Cra,crr,+
Cra,ptsH,-
Cra,ptsI,-
Cra,crr,-
Cra,raiA,+
Cra,raiA,-
Cra,nrdH,-
Cra,nrdI,-
Cra,nrdE,-
Cra,nrdF,-
Cra,hypF,-
Cra,eno,-
Cra,eno,-
Cra,epd,-
Cra,pgk,-
Cra,fbaA,-
Cra,epd,-
Cra,pgk,-
Cra,fbaA,-
Cra,glcC,-
Cra,crp,+
Cra,nirB,-
Cra,nirB,-
Cra,nirD,-
Cra,nirD,-
Cra,nirC,-
Cra,nirC,-
Cra,cysG,-
Cra,cysG,-
Cra,yhfS,-
Cra,yhfT,-
Cra,yhfU,-
Cra,php,-
Cra,yhfW,-
Cra,yhfX,-
Cra,pck,+
Cra,nikA,+
Cra,nikB,+
Cra,nikC,+
Cra,nikD,+
Cra,nikE,+
Cra,nikR,+
Cra,mtlA,-
Cra,mtlD,-
Cra,mtlR,-
Cra,gpmM,-
Cra,gpmM,-
Cra,envC,-
Cra,envC,-
Cra,yibQ,-
Cra,yibQ,-
Cra,metE,+
Cra,pfkA,-
Cra,pfkA,-
Cra,tpiA,-
Cra,tpiA,-
Cra,ppc,-
Cra,aceB,+
Cra,aceA,+
Cra,aceK,+
Cra,aceB,+
Cra,aceA,+
Cra,aceK,+
Cra,fbp,+
Cra,mpl,-
Cra,treB,+
Cra,treC,+
Cra,sgrS,-
Cra,sgrT,-
MraZ,mraZ,-
MraZ,rsmH,-
MraZ,ftsL,-
MraZ,ftsI,-
MraZ,murE,-
MraZ,murF,-
MraZ,mraY,-
MraZ,murD,-
MraZ,ftsW,-
MraZ,murG,-
MraZ,murC,-
MraZ,ddlB,-
MraZ,ftsQ,-
MraZ,ftsA,-
MraZ,ftsZ,-
MraZ,lpxC,-
MraZ,mioC,-
PdhR,mraZ,-
PdhR,rsmH,-
PdhR,ftsL,-
PdhR,ftsI,-
PdhR,murE,-
PdhR,murF,-
PdhR,mraY,-
PdhR,murD,-
PdhR,ftsW,-
PdhR,murG,-
PdhR,murC,-
PdhR,ddlB,-
PdhR,ftsQ,-
PdhR,ftsA,-
PdhR,ftsZ,-
PdhR,lpxC,-
PdhR,pdhR,-
PdhR,aceE,-
PdhR,aceF,-
PdhR,lpd,-
PdhR,hemL,-
PdhR,cyoE,-
PdhR,cyoD,-
PdhR,cyoC,-
PdhR,cyoB,-
PdhR,cyoA,-
PdhR,hha,-
PdhR,tomB,-
PdhR,ndh,-
PdhR,grcA,-
PdhR,glcD,-
PdhR,glcE,-
PdhR,glcF,-
PdhR,glcG,-
PdhR,glcB,-
PdhR,glcA,-
PdhR,fecA,+
PdhR,fecB,+
PdhR,fecC,+
PdhR,fecD,+
PdhR,fecE,+
CdaR,cdaR,+
CdaR,gudD,+
CdaR,gudX,+
CdaR,gudP,+
CdaR,garP,+
CdaR,garL,+
CdaR,garR,+
CdaR,garK,+
CdaR,rnpB,+
CdaR,garD,+
