tf	tg	regtype	source	evidence
accb	accb	-	[]	null	
accb	accc	-	[]	null	
acrr	acra	-	[bce, bpp, gea, hibscs]	weak	
acrr	acrb	-	[bce, bpp, gea, hibscs]	weak	
acrr	acrr	-	[aibscs, bce, bpp, gea, hibscs]	weak	
acrr	flhc	-	[gea, hibscs]	weak	
acrr	flhd	-	[gea, hibscs]	weak	
acrr	mara	-	[bpp, gea, hibscs]	strong	
acrr	marb	-	[bpp, gea, hibscs]	strong	
acrr	marr	-	[bpp, gea, hibscs]	strong	
acrr	micf	-	[aibscs]	weak	
acrr	soxr	-	[bpp, gea, hibscs]	strong	
acrr	soxs	-	[bpp, gea, hibscs]	strong	
ada	ada	+	[bpp, gea, hibscs, sm]	strong	
ada	ada	-	[bpp, gea, hibscs, sm]	strong	
ada	aidb	+	[bpp, gea, hibscs]	strong	
ada	alka	+	[bpp, gea, hibscs, sm]	strong	
ada	alkb	+	[bpp, gea, hibscs, sm]	strong	
ada	alkb	-	[bpp, gea, hibscs, sm]	strong	
adiy	adia	+	[bpp, gea]	strong	
adiy	gada	+	[bpp]	strong	
adiy	gadb	+	[bpp]	strong	
adiy	gadc	+	[bpp]	strong	
adiy	gadx	+	[bpp]	strong	
adiy	gltb	+	[bpp]	strong	
adiy	gltd	+	[bpp]	strong	
adiy	gltf	+	[bpp]	strong	
agar	agaa	-	[bpp, gea, hibscs]	strong	
agar	agab	-	[bpp, gea, hibscs]	strong	
agar	agac	-	[bpp, gea, hibscs]	strong	
agar	agad	-	[bpp, gea, hibscs]	strong	
agar	agai	-	[bpp, gea, hibscs]	strong	
agar	agar	-	[bpp, gea, hibscs]	strong	
agar	agas	-	[bpp, gea, hibscs]	strong	
agar	agav	-	[bpp, gea, hibscs]	strong	
agar	agaw	-	[bpp, gea, hibscs]	strong	
agar	kbay	-	[bpp, gea, hibscs]	strong	
agar	kbaz	-	[bpp, gea, hibscs]	strong	
aidb	aidb	-	[bpp, gea]	strong	
alas	alas	-	[bpp, gea]	strong	
allr	alla	-	[bce, bpp, gea, sm]	weak	
allr	allb	-	[bce, bpp, gea, sm]	weak	
allr	alls	-	[bce, bpp, gea, sm]	weak	
allr	gcl	-	[bce, bpp, gea, sm]	weak	
allr	glxk	-	[bce, bpp, gea, sm]	weak	
allr	glxr	-	[bce, bpp, gea, sm]	weak	
allr	hyi	-	[bce, bpp, gea, sm]	weak	
allr	ybbw	-	[bce, bpp, gea, sm]	weak	
allr	ybby	-	[bce, bpp, gea, sm]	weak	
alls	allc	+	[bce, hibscs]	weak	
alls	alld	+	[bce, hibscs]	weak	
alls	alle	+	[bce, hibscs]	weak	
alsr	alsa	-	[gea]	weak	
alsr	alsb	-	[gea]	weak	
alsr	alsc	-	[gea]	weak	
alsr	alse	-	[gea]	weak	
alsr	rpib	-	[gea]	weak	
alsr	rpir	-	[gea]	weak	
appy	appa	+	[gea]	weak	
appy	appb	+	[gea]	weak	
appy	appc	+	[gea]	weak	
appy	appx	+	[gea]	weak	
appy	hyaa	+	[gea]	weak	
appy	hyab	+	[gea]	weak	
appy	hyac	+	[gea]	weak	
appy	hyad	+	[gea]	weak	
appy	hyae	+	[gea]	weak	
appy	hyaf	+	[gea]	weak	
arac	araa	+	[bpp, gea, hibscs, sm]	strong	
arac	araa	-	[bce, bpp, gea, hibscs, sm]	weak	
arac	arab	+	[bpp, gea, hibscs, sm]	strong	
arac	arab	-	[bce, bpp, gea, hibscs, sm]	weak	
arac	arac	+	[bpp, gea, hibscs, sm]	strong	
arac	arac	-	[bce, bpp, gea, hibscs, sm]	weak	
arac	arad	+	[bpp, gea, hibscs, sm]	strong	
arac	arad	-	[bce, bpp, gea, hibscs, sm]	weak	
arac	arae	+	[bpp, hibscs]	strong	
arac	araf	+	[aibscs, bpp, hibscs, sm]	weak	
arac	arag	+	[aibscs, bpp, hibscs, sm]	weak	
arac	arah	+	[aibscs, bpp, hibscs, sm]	weak	
arac	araj	+	[aibscs, bpp, hibscs]	weak	
arac	xyla	-	[bce, gea, hibscs]	weak	
arac	xylb	-	[bce, gea, hibscs]	weak	
arac	ydem	-	[gea]	weak	
arac	yden	-	[gea]	weak	
arac	ygea	+	[bpp, hibscs]	strong	
arca	acea	-	[rbm]	weak	
arca	aceb	-	[rbm]	weak	
arca	acee	-	[gea]	weak	
arca	acef	-	[gea]	weak	
arca	acek	-	[rbm]	weak	
arca	acka	+	[gea]	weak	
arca	acna	-	[gea, hibscs]	weak	
arca	acnb	-	[gea, hibscs]	weak	
arca	alda	-	[aibscs, bpp, hibscs, sm]	weak	
arca	appa	+	[gea]	weak	
arca	appb	+	[gea]	weak	
arca	appc	+	[gea]	weak	
arca	appx	+	[gea]	weak	
arca	arcz	-	[gea, hibscs]	weak	
arca	beta	-	[bce, gea]	weak	
arca	betb	-	[bce, gea]	weak	
arca	beti	-	[bce, gea]	weak	
arca	bett	-	[bce, gea]	weak	
arca	cada	-	[aibscs, gea]	weak	
arca	cadb	-	[aibscs, gea]	weak	
arca	caia	+	[aibscs, gea]	weak	
arca	caib	+	[aibscs, gea]	weak	
arca	caic	+	[aibscs, gea]	weak	
arca	caid	+	[aibscs, gea]	weak	
arca	caie	+	[aibscs, gea]	weak	
arca	cait	+	[aibscs, gea]	weak	
arca	citc	-	[aibscs]	weak	
arca	citd	-	[aibscs]	weak	
arca	cite	-	[aibscs]	weak	
arca	citf	-	[aibscs]	weak	
arca	citg	-	[aibscs]	weak	
arca	citx	-	[aibscs]	weak	
arca	cyda	+	[aibscs, bce, bpp, gea, hibscs]	weak	
arca	cydb	+	[aibscs, bce, bpp, gea, hibscs]	weak	
arca	cydc	+	[gea]	weak	
arca	cydd	+	[gea]	weak	
arca	cyoa	-	[bce, gea]	weak	
arca	cyob	-	[bce, gea]	weak	
arca	cyoc	-	[bce, gea]	weak	
arca	cyod	-	[bce, gea]	weak	
arca	cyoe	-	[bce, gea]	weak	
arca	dcta	-	[gea]	weak	
arca	dcuc	+	[gea, hibscs]	weak	
arca	dpia	+	[aibscs]	weak	
arca	dpib	+	[aibscs]	weak	
arca	fada	-	[aibscs, bpp, gea]	weak	
arca	fadb	-	[aibscs, bpp, gea]	weak	
arca	fadd	-	[aibscs, bpp]	weak	
arca	fade	-	[aibscs, bpp, gea]	weak	
arca	fadh	-	[gea, hibscs]	weak	
arca	fadi	-	[aibscs, bpp, gea]	weak	
arca	fadj	-	[aibscs, bpp, gea]	weak	
arca	fadl	-	[aibscs, bpp]	weak	
arca	fnr	-	[gea]	weak	
arca	foca	+	[bpp, gea, hibscs]	strong	
arca	fuma	-	[gea]	weak	
arca	fumb	+	[gea]	weak	
arca	fumc	-	[gea]	weak	
arca	gada	+	[aibscs, gea]	weak	
arca	gade	+	[bpp, gea]	strong	
arca	gadf	+	[bpp, gea]	strong	
arca	gadx	+	[aibscs, gea]	weak	
arca	gata	-	[aibscs, gea]	weak	
arca	gatb	-	[aibscs, gea]	weak	
arca	gatc	-	[aibscs, gea]	weak	
arca	gatd	-	[aibscs, gea]	weak	
arca	gaty	-	[aibscs, gea]	weak	
arca	gatz	-	[aibscs, gea]	weak	
arca	glca	-	[aibscs, bpp, gea]	weak	
arca	glcb	-	[aibscs, bpp, gea]	weak	
arca	glcd	-	[aibscs, bpp, gea]	weak	
arca	glce	-	[aibscs, bpp, gea]	weak	
arca	glcf	-	[aibscs, bpp, gea]	weak	
arca	glcg	-	[aibscs, bpp, gea]	weak	
arca	glpa	-	[gea]	weak	
arca	glpb	-	[gea]	weak	
arca	glpc	-	[gea]	weak	
arca	glpd	-	[gea]	weak	
arca	glta	-	[bce, gea, hibscs]	weak	
arca	grca	+	[gea, hibscs]	weak	
arca	hema	+	[gea]	weak	
arca	hyaa	+	[bpp, gea, hibscs]	strong	
arca	hyab	+	[bpp, gea, hibscs]	strong	
arca	hyac	+	[bpp, gea, hibscs]	strong	
arca	hyad	+	[bpp, gea, hibscs]	strong	
arca	hyae	+	[bpp, gea, hibscs]	strong	
arca	hyaf	+	[bpp, gea, hibscs]	strong	
arca	hyba	-	[gea, hibscs]	weak	
arca	hybb	-	[gea, hibscs]	weak	
arca	hybc	-	[gea, hibscs]	weak	
arca	hybd	-	[gea, hibscs]	weak	
arca	hybe	-	[gea, hibscs]	weak	
arca	hybf	-	[gea, hibscs]	weak	
arca	hybg	-	[gea, hibscs]	weak	
arca	hybo	-	[gea, hibscs]	weak	
arca	icd	-	[bpp, gea, hibscs]	strong	
arca	iram	+	[aibscs]	weak	
arca	lldd	-	[aibscs, bpp, gea, hibscs]	weak	
arca	lldp	-	[aibscs, bpp, gea, hibscs]	weak	
arca	lldr	-	[aibscs, bpp, gea, hibscs]	weak	
arca	lpd	-	[aibscs, bpp, gea]	weak	
arca	mdh	-	[bce, gea]	weak	
arca	moea	+	[bpp, gea]	strong	
arca	moeb	+	[bpp, gea]	strong	
arca	ndh	-	[aibscs, gea]	weak	
arca	nuoa	-	[bce, gea, sm]	weak	
arca	nuob	-	[bce, gea, sm]	weak	
arca	nuoc	-	[bce, gea, sm]	weak	
arca	nuoe	-	[bce, gea, sm]	weak	
arca	nuof	-	[bce, gea, sm]	weak	
arca	nuog	-	[bce, gea, sm]	weak	
arca	nuoh	-	[bce, gea, sm]	weak	
arca	nuoi	-	[bce, gea, sm]	weak	
arca	nuoj	-	[bce, gea, sm]	weak	
arca	nuok	-	[bce, gea, sm]	weak	
arca	nuol	-	[bce, gea, sm]	weak	
arca	nuom	-	[bce, gea, sm]	weak	
arca	nuon	-	[bce, gea, sm]	weak	
arca	ompw	-	[aibscs, bpp, gea]	weak	
arca	oppa	-	[aibscs, gea]	weak	
arca	oppb	-	[aibscs, gea]	weak	
arca	oppc	-	[aibscs, gea]	weak	
arca	oppd	-	[aibscs, gea]	weak	
arca	oppf	-	[aibscs, gea]	weak	
arca	pflb	+	[bpp, gea, hibscs]	strong	
arca	prfa	+	[gea]	weak	
arca	prmc	+	[gea]	weak	
arca	ptsg	-	[bpp, gea]	strong	
arca	puua	-	[aibscs, gea]	weak	
arca	puub	-	[aibscs, gea]	weak	
arca	puuc	-	[aibscs, gea]	weak	
arca	puud	-	[aibscs, gea]	weak	
arca	puue	-	[aibscs, gea]	weak	
arca	puup	-	[aibscs, gea]	weak	
arca	puur	-	[aibscs, gea]	weak	
arca	rhat	-	[aibscs, gea]	weak	
arca	rplb	-	[aibscs, gea]	weak	
arca	rplc	-	[aibscs, gea]	weak	
arca	rpld	-	[aibscs, gea]	weak	
arca	rplp	-	[aibscs, gea]	weak	
arca	rplv	-	[aibscs, gea]	weak	
arca	rplw	-	[aibscs, gea]	weak	
arca	rpmc	-	[aibscs, gea]	weak	
arca	rpos	-	[bpp, gea]	strong	
arca	rpsc	-	[aibscs, gea]	weak	
arca	rpsj	-	[aibscs, gea]	weak	
arca	rpsq	-	[aibscs, gea]	weak	
arca	rpss	-	[aibscs, gea]	weak	
arca	ruta	+	[aibscs, gea]	weak	
arca	rutb	+	[aibscs, gea]	weak	
arca	rutc	+	[aibscs, gea]	weak	
arca	rutd	+	[aibscs, gea]	weak	
arca	rute	+	[aibscs, gea]	weak	
arca	rutf	+	[aibscs, gea]	weak	
arca	rutg	+	[aibscs, gea]	weak	
arca	sdha	+	[bpp, gea, hibscs]	strong	
arca	sdha	-	[bpp, gea, hibscs]	strong	
arca	sdhb	+	[bpp, gea, hibscs]	strong	
arca	sdhb	-	[bpp, gea, hibscs]	strong	
arca	sdhc	+	[bpp, gea, hibscs]	strong	
arca	sdhc	-	[bpp, gea, hibscs]	strong	
arca	sdhd	+	[bpp, gea, hibscs]	strong	
arca	sdhd	-	[bpp, gea, hibscs]	strong	
arca	soda	-	[aibscs, bce, hibscs]	weak	
arca	srod	-	[aibscs, bpp]	weak	
arca	ssb	-	[bpp, gea, hibscs]	strong	
arca	suca	+	[bpp, gea, hibscs]	strong	
arca	suca	-	[bpp, gea, hibscs]	strong	
arca	sucb	+	[bpp, gea, hibscs]	strong	
arca	sucb	-	[bpp, gea, hibscs]	strong	
arca	succ	+	[bpp, gea, hibscs]	strong	
arca	succ	-	[bpp, gea, hibscs]	strong	
arca	sucd	+	[bpp, gea, hibscs]	strong	
arca	sucd	-	[bpp, gea, hibscs]	strong	
arca	tpx	-	[gea, hibscs]	weak	
arca	treb	+	[aibscs, gea]	weak	
arca	trec	+	[aibscs, gea]	weak	
arca	ubia	-	[gea]	weak	
arca	ubic	-	[gea]	weak	
arca	uvra	-	[bpp, gea, hibscs]	strong	
arca	xylr	+	[aibscs, gea]	weak	
arca	ybdn	+	[aibscs]	weak	
arca	ydea	-	[aibscs, gea]	weak	
argp	argo	+	[bce, bpp, gea, hibscs, ic]	weak	
argp	argp	-	[gea, hibscs, ic]	weak	
argp	dapb	+	[bce, bpp, gea, hibscs, ic]	weak	
argp	dapd	+	[bpp, gea]	strong	
argp	dnaa	+	[bpp, gea, ic]	strong	
argp	dnan	+	[bpp, gea, ic]	strong	
argp	gdha	+	[bpp, gea]	strong	
argp	lysa	+	[bpp, gea]	strong	
argp	lysc	+	[bpp, gea]	strong	
argp	lysp	+	[bpp, gea, hibscs, ic, sm]	strong	
argp	nrda	+	[bpp, gea, ic]	strong	
argp	nrdb	+	[bpp, gea, ic]	strong	
argp	recf	+	[bpp, gea, ic]	strong	
argp	yfae	+	[bpp, gea, ic]	strong	
argr	arga	-	[aibscs, bpp, gea, hibscs]	weak	
argr	argb	-	[aibscs, bce, bpp, gea, sm]	weak	
argr	argc	-	[aibscs, bce, bpp, gea, sm]	weak	
argr	argd	-	[aibscs, bpp, gea, hibscs]	weak	
argr	arge	-	[aibscs, bce, bpp, gea, sm]	weak	
argr	argf	-	[aibscs, bce, bpp, gea, sm]	weak	
argr	argg	-	[aibscs, bpp, gea, hibscs]	weak	
argr	argh	-	[aibscs, bce, bpp, gea, sm]	weak	
argr	argi	-	[aibscs, bce, bpp, gea]	weak	
argr	argr	-	[aibscs, bpp, gea, hibscs]	weak	
argr	arti	-	[aibscs, bpp, gea, sm]	weak	
argr	artj	-	[aibscs, bpp, gea, sm]	weak	
argr	artm	-	[aibscs, bpp, gea, sm]	weak	
argr	artp	-	[aibscs, bpp, gea, sm]	weak	
argr	artq	-	[aibscs, bpp, gea, sm]	weak	
argr	asta	+	[aibscs, bpp, gea]	weak	
argr	astb	+	[aibscs, bpp, gea]	weak	
argr	astc	+	[aibscs, bpp, gea]	weak	
argr	astd	+	[aibscs, bpp, gea]	weak	
argr	aste	+	[aibscs, bpp, gea]	weak	
argr	cara	-	[aibscs, bpp, gea, hibscs, sm]	weak	
argr	carb	-	[aibscs, bpp, gea, hibscs, sm]	weak	
argr	gltb	-	[bpp, gea, hibscs]	strong	
argr	gltd	-	[bpp, gea, hibscs]	strong	
argr	gltf	-	[bpp, gea, hibscs]	strong	
argr	hisj	-	[aibscs, bpp, gea, sm]	weak	
argr	hism	-	[aibscs, bpp, gea, sm]	weak	
