GO_ID,GO_term,Category,gene_name
GO:0003723,RNA binding,Function,pcnB
GO:0003723,RNA binding,Function,cspE
GO:0003723,RNA binding,Function,cspB
GO:0003723,RNA binding,Function,thrS
GO:0003723,RNA binding,Function,cspC
GO:0003723,RNA binding,Function,cspA
GO:0003723,RNA binding,Function,rapZ
GO:0003723,RNA binding,Function,casC
GO:0003723,RNA binding,Function,smpB
GO:0003723,RNA binding,Function,cspD
GO:0003723,RNA binding,Function,sspB
GO:0003723,RNA binding,Function,ybcJ
GO:0003723,RNA binding,Function,ybiB
GO:0003723,RNA binding,Function,era
GO:0003723,RNA binding,Function,rpsA
GO:0003723,RNA binding,Function,rho
GO:0003723,RNA binding,Function,casE
GO:0003723,RNA binding,Function,casA
GO:0003723,RNA binding,Function,bglG
GO:0003723,RNA binding,Function,casD
GO:0003723,RNA binding,Function,rne
GO:0003723,RNA binding,Function,hfq
GO:0003723,RNA binding,Function,rhlB
GO:0003723,RNA binding,Function,yjhR
GO:0003723,RNA binding,Function,ygcB
GO:0003723,RNA binding,Function,rhlE
GO:0003723,RNA binding,Function,deaD
GO:0003723,RNA binding,Function,dbpA
GO:0003723,RNA binding,Function,lhr
GO:0003723,RNA binding,Function,srmB
GO:0003723,RNA binding,Function,rplA
GO:0003723,RNA binding,Function,rpsI
GO:0031555,transcriptional attenuation,Process,rhoL
GO:0031555,transcriptional attenuation,Process,thrL
GO:0031555,transcriptional attenuation,Process,ilvL
GO:0031555,transcriptional attenuation,Process,pyrL
GO:0005515,protein binding,Function,lptD
GO:0005515,protein binding,Function,ftsI
GO:0005515,protein binding,Function,ftsW
GO:0005515,protein binding,Function,murC
GO:0005515,protein binding,Function,ftsZ
GO:0005515,protein binding,Function,secA
GO:0005515,protein binding,Function,bamA
GO:0005515,protein binding,Function,paoC
GO:0005515,protein binding,Function,paoB
GO:0005515,protein binding,Function,paoA
GO:0005515,protein binding,Function,mhpF
GO:0005515,protein binding,Function,mhpE
GO:0005515,protein binding,Function,uspG
GO:0005515,protein binding,Function,lptE
GO:0005515,protein binding,Function,rihA
GO:0005515,protein binding,Function,tolB
GO:0005515,protein binding,Function,pal
GO:0005515,protein binding,Function,aqpZ
GO:0005515,protein binding,Function,sulA
GO:0005515,protein binding,Function,torS
GO:0005515,protein binding,Function,torC
GO:0005515,protein binding,Function,torA
GO:0005515,protein binding,Function,torD
GO:0005515,protein binding,Function,umuD
GO:0005515,protein binding,Function,umuC
GO:0005515,protein binding,Function,thrS
GO:0005515,protein binding,Function,fliF
GO:0005515,protein binding,Function,fliG
GO:0005515,protein binding,Function,ompC
GO:0005515,protein binding,Function,yfaU
GO:0005515,protein binding,Function,murQ
GO:0005515,protein binding,Function,bamC
GO:0005515,protein binding,Function,bamB
GO:0005515,protein binding,Function,bamD
GO:0005515,protein binding,Function,bamE
GO:0005515,protein binding,Function,hypB
GO:0005515,protein binding,Function,eno
GO:0005515,protein binding,Function,zapA
GO:0005515,protein binding,Function,fkpA
GO:0005515,protein binding,Function,slyD
GO:0005515,protein binding,Function,yidC
GO:0005515,protein binding,Function,recQ
GO:0005515,protein binding,Function,ftsN
GO:0005515,protein binding,Function,aidB
GO:0005515,protein binding,Function,yggR
GO:0005515,protein binding,Function,dnaJ
GO:0005515,protein binding,Function,hslU
GO:0005515,protein binding,Function,aes
GO:0005515,protein binding,Function,gltB
GO:0005515,protein binding,Function,ygfX
GO:0005515,protein binding,Function,dam
GO:0005515,protein binding,Function,dtd
GO:0005515,protein binding,Function,nudF
GO:0005515,protein binding,Function,ung
GO:0005515,protein binding,Function,cusB
GO:0005515,protein binding,Function,atoA
GO:0005515,protein binding,Function,tolC
